question,answer,intent
코로나 37.2도 모양은 아래처럼 생겼고 체온을 잴때마다 체온이 달라지고 거의 37도 이상 37.5도 미만으로 나오는데 학교 같은반에 코로나가 있어서 자가격리 중이거든요 ㅠㅠ 너무 불안해요 36도 나올때도 있고 손목재니까 35.6나오고요 ㅠㅠㅠ 저 코로나 일까요..?,"근육통, 두통, 인후통, 후각·미각소실 - 그 외에 피로, 식욕감소, 가래, 소화기증상(오심, 구토, 설사 등), 혼돈, 어지러움, 콧물이나 코막힘, 객혈, 흉통, 결막염, 피부 증상 등이 다양하게 나타남 코로나는 증상이 다양해요. 질문자님은 코로나 가능성 떨어져요. 하지만 검사 한번 받아보시길 권해드려요. 경과 보세요.",경미한 의심증상
코로나 감염 질문 제가 지금 코로나에 걸린 상태인데 입대고 마신 음료수가 냉장고에 있거든요 근데 제가 코로나 완치한 후에 그 입대고 마셨던 음료수를 다시 입대고 마시면 다시 코로나에 걸리나요,코로나 균은 사람의 몸밖에서는 생존시간이 줄어듭니다. 시간간격에 따라서 달라질 수 있지만 감염가능성은 매우 낮다고 생각합니다,경미한 외부접촉
코로나 질문 코로나 걸리면 썻던 물품들 다 소녹하잖아요 근데 제대로 소독이 안되어서 막 코로나 재발? 같은게 될 확률은 적나요??,코로나 발병 이후 환자가 사용하였던 물품들은 모두 철저히 소독 또는 폐기를 하게 되어 있습니다. 소독하는 과정에서 소독이 제대로 진행되지 않는다면 코로나가 발병할 경우도 있겠습니다만 그리 큰 확률은 아닐 것으로 보입니다.,경미한 외부접촉
"목건조 코로나 , 화요일날 학교에서 같은반 친구 2명이 코로나에 걸려 저희학년 모두 자가격리중입니다. 반에서, 제 증상이 코로나인지 의심되서 물어봅니다. 어제 음성판정 받았고요 어제부터 목이, 근데 하필 자가격리랑 겹쳐버려서, 콧물이나 코막힘도 없습니다. 코로나는 아니겠죠?",코로나19 감염이 아니었으면 좋겠습니다만 확답을 드리기 어렵습니다. 무증상 감염자도 간혹 있으며 'PCR검사' 외에 코로나19를 확인할 수 있는 방법이 없기 때문입니다.,주의단계 의심증상
"코로나 증상 질문 급해요, 밀접 접촉자로 자가격리 중인데요 갑자기 기침하더니 살짝 토했는데 코로나일려나요, 창문 열고 춥게 있기도 했는데, 열은 35.4였고요 머리 안아프고 근육통도 없어요","증상으로 코로나를 구분하는 것은 불가능하기도 하거니와 정확한 구분이 아니어서, 이 내용으로 코로나 여부를 답변하는 것은 부적절합니다. 밀접 접촉자로 자가격리 중이라면, 이를 관계부처(현재 자가격리를 관할하는 상담자나 지자체 보건소 등)에 통보하여 적절한 조치를 받도록 하세요",밀접 접촉자 증상 질문
코로나 생백신 사백신 코로나 생백신인가요 사백신인가요? 코로나 백신 맞기 전에 b형간염이랑 td 예방접종을 맞는데 둘 다 사백신이라 코로나 백신도 맞아도 되겠죠?,코로나19 백신이 개발 및 사용된지 오래되지 않아 다른 백신과 동시 사용시 부작용의 우려가 있습니다. 그렇기 때문에 코로나19 백신은 다른 백신들과 최소 14일 이상의 간격을 확보하고 접종하도록 되어있습니다. 도움이 되었길 바랍니다. 감사합니다.,접종 간격
코로나19 검사 만약 코로나 확진자와 접촉후 바로 코로나 검사를 하면 양성판정이 나옵니까? 그리고 코로나 증상은 어떤게 있나요.,확진자와 접촉하였다고 바로 검사 양성이 되지는 않습니다. 적절한 검체 채취 및 검사 방법을 하지 못하면 음성으로 나오기도 합니다. 코로나 증상은 다음의 내용을 참고하십시오. https://www.youtube.com/watch?v=UeEY9eLGJrM,확진자 접촉 경미
가다실9 코로나 백신 가다실9 접종 예정인데 가다실9 과 코로나 백신 을 최소2주 간격을 두고 맞아야 한다고 들었는데 그런가요? 만약 가다실9 1차 접종을 하게 되면 그 후 2주뒤에 코로나 백신 맞아도 상관 없나요? 가다실9 은 3회 맞아야 되는데 1차 2차 3차 다 맞고 코로나 백신을 맞아야 하나요?,코로나백신과 다른 백신과의 접종간격은 2주간 띄울 것을 권고하고 있습니다. 코로나백신 접종처에 말씀하시면 연기해주실 겁니다.,접종 간격
해외입국자 아기 코로나검사 만6세 미만 아기는 해외에서 입국할때 코로나 검사 안받아도 된다던데 확실한가요?! 한국에 도착해서는 두번의 코로나 검사를 해야한다던데 그것도 아기는 면제인가요??,코로나 검사를 권고하나 의무는 아닙니다.,코로나 검사 의무
기침이 자꾸 나면서 미열이 살짝 있어서 코로나 검사를 받으려고 하는데요~ 코로나 검사는 어디에서 받을 수 있나요?,"코로나 19 검사는 선별진료소와 호흡기전담클리닉에서 시행하고 있습니다. 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 위치
코로나 검사 금액은 얼마죠?,금액은 병원별로 상이하기 때문에 방문하실 기관으로 문의주시기 바랍니다.,코로나 검사 비용
검사 받으면 결과가 언제쯤 나올까요?,코로나 19 검사는 2가지 종류가 있습니다. PCR검사와 신속항원검사입니다. PCR검사의 경우 24시간이내 결과가 발급되고 신속항원의 경우 30분 이내 결과가 발급됩니다.,코로나 검사 기간
코로나19 언제까지 있나요?? 여름에도 여전히 코로나19 는 있나요? 추석에도 또 있나요?,정답은 아무도 알 수 없습니다. 저 역시 제발 이 지겨운 코로나 사태가 빨리 끝났으면 좋겠습니다. 백신도 접종이 되고 있고 우리 모두가 코로나 예방 수칙을 철저히 지킨다면 결국 코로나를 종식시킬 수 있을 것이라고 믿습니다. 힘내시기 바랍니다. 감사합니다.,코로나 종식 기간
"코로나 증상 목 아픔-> 열 ->코막힘, 가래, 콧물 지금 코막히고 가래나오고 콧물 나오는 단계인데 코로나 일까요? 월요일에 병원가서 약 처방 받았고 토요일부터, 병원 빼고 나간 적은 없어요 평소에 맨날 같이 다니는 애는 증상이 없고 학교에서도 아직 저랑 같은 증상 호소하는 친구 안나왔어요 코로나 아니겠죠?","상기증상 하나하나가 다 코로나 증상 중에 하나입니다. 요즈음은 역학적 연관성 없이, 감염경로를 모르는 코로나 감염도 있기에, 걱정이 되신다면 보건소에서 무료검사 시행하는게 좋을 것 같습니다.",주의단계 의심증상
"코로나 환불 금일 저의 (게스트 본인) 코로나 확진으로 인해 예약을 취소했습니다. 해당 숙소 관계자와 함께, 및 코로나바이러스감염증-19(코로나19)’ 속 2020년 3월 15일 혹은 그 이후 확정된 예약’ 의, 경우에는 코로나로 인한 사유가 정상참작이 된다고 판단되어 전액환불을 요청드리고 싶습니다.",아래 링크를 통해 코로나바이러스감염증-19 관련 정상참작이 가능한 상황 정책 및 예약 취소 방법에 대해 알아 볼 수 있습니다. '코로나19 사태로 인한 예약 취소 옵션' www.airbnb.co.kr/help/article/2728 '정상참작이 가능한 상황 정책 및 코로나바이러스감염증-19(코로나19)' www.airbnb.co.kr/help/article/2701,코로나 정상참작
위드 코로나가 뭐에요,"코로나19의 장기화에 따른, 코로나19를 예방하며 일상생활을 해야 하는 시기 또는 정책입니다.",위드코로나
코로나 이전 미국행 비행기 값 코로나 사태로 비행기 값이 올랐다고 들었습니다 많이 회복되었다고 하지만 지금 적어도 140만원은 줘야 왕복이 가능하다 들었는데 코로나 이전에는 미국행 비행기값이 얼마였는지 추후 가격이 내려갈수있는지 알려주시면 감사하겠습니다,"코로나 이전의 항공료는 유류/텍스 제외하고 국적기 직항 노선의 경우 비수기 시즌 서부 지역은, 정상적으로 코로나 이전 요금이 그대로 적용되고 있습니다. 단지 비수기 시즌에는 대부분, 코로나 입국 규제가 완화되고 정상 운항하는 항공사가 많아진다면 항공요금을 절약하는 방법이 증가할 수 있습니다.",비행기 요금 미국
"코로나와 비염 구분 , 근데 요즘 코로나때문에 이게 코로나 증상인지 비염증상인지 구분이 잘 안가더라고요. 열은 36.7도로 정상인데 요즘 변이 바이러스때문에 코로나 증상에도 차이점이 있을까 싶습니다 ㅠㅠ 변이 바이러스도 증상중에 발열이 있나요??","증상으로 코로나와 알레르기비염을 구분하기는 어렵습니다. 알레르기비염을 갖고 있는 분들은, 주변에 환자가 급증한다던지, 접촉하였다던지, 코로나로 진단받은(추후라도) 사람과 같은 공간에 있었는지, 37.5도 이상의 발열, 호흡곤란, 인후통, 후각마비 등의 증상일때는 코로나 검사를 받도록 권고하고 있습니다.",비염 비교
코로나 검사 안녕하세요 중국으로 가게되어서 한국에 있을때 오늘 코로나 검사한번하고 중국 도착해서 격리하고 또 코로나 검사받아야하나요? 혈액검사도 해야되나요? 제발알려주세요ㅠㅠ,구비 서류 및 준비사항 - 모든 승객 출발 3일 이내 발급 받은 코로나19 음성 확인서 제출 필수. 코로나19 음성확인서 제출 및 추가 검사 실시 후 격리기간 단축 가능.,여행시 검사
코로나 검사 안녕하세요 중국으로 가게되어서 한국에 있을때 오늘 코로나 검사한번하고 중국 도착해서 격리하고 또 코로나 검사받아야하나요? 혈액검사도 해야되나요? 제발알려주세요ㅠㅠ,구비 서류 및 준비사항 - 모든 승객 출발 3일 이내 발급 받은 코로나19 음성 확인서 제출 필수. 코로나19 음성확인서 제출 및 추가 검사 실시 후 격리기간 단축 가능.,여행시 검사
"코로나 기침 , 간질거리는데 코로나 인가요?제가 이틀전에 머리를 안말리고 나갔다고 감기일수도 있을것같지만 요즘 코로나가 너무 심해서 걱정이 됩니다.코로나에 근육통도 잇다고 하는데, 그래도 근육통은 요즘 홈트를 하느라 있을수도 있지만 기침은 좀 불안해요..코로나 인가요..?",코로나를 증상만으로 알수는 없습니다만 코로나는 아닌듯 하니 경과를 지켜보세요 너무 걱정마시구요,경미한 의심증상
코로나 19 학교에서는 인후통인거같다고 코로나 검사 받으러 가라했는데 혹시나해서 개인병원을 가봤는데 편도염이라고하는데 그럼 코로나 검사 받으러 가야대나요..?,코로나증상 중에는 편도염이 동반되기도 합니다. 코로나감염이 의심되면 선별진료소 검사를 받으세요.,편도염 비교
