기준일,시도,시군구,의료기관명,주소,평일 운영시간,토요일 운영시간,"일요일/공휴일
운영시간",대표 전화번호,관할보건소,관할보건소 전화번호,장애인 편의사항
2021년 11월 11일 09시,서울,강남구,강남구보건소,서울 강남구 삼성동(삼성2동) 8 강남구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-3423-5555,강남구보건소,02-3423-7138,"수어상담가능, 전자문진표 이용, 의사소통 도움판, 중증장애인 우선검사 시행"
2021년 11월 11일 09시,서울,강남구,삼성서울병원,서울 강남구 일원로81 삼성서울병원,09:00~16:30,09:00~16:30,09:00~16:30,02-1599-3114,강남구보건소,02-3423-7138,
2021년 11월 11일 09시,서울,강남구,강남세브란스병원,서울 강남구 언주로211 강남세브란스병원,09:00~17:00,09:00~12:30,미운영,02-1599-6114,강남구보건소,02-3423-7138,
2021년 11월 11일 09시,서울,강동구,강동구보건소,서울 강동구 성내로45,09:00~21:00,09:00~18:00,09:00~18:00,02-3425-6713,강동구보건소,02-3425-6713,
2021년 11월 11일 09시,서울,강동구,중앙보훈병원,서울 강동구 진황도로 61길 53,09:00~17:30,미운영,미운영,02-2225-1114,강동구보건소,02-3425-6713,
2021년 11월 11일 09시,서울,강동구,강동경희대병원,서울시 강동구 동남로 892,09:00~17:00,09:00~12:00,미운영,02-440-7000,강동구보건소,02-3425-6713,
2021년 11월 11일 09시,서울,강동구,강동성심병원,서울시 강동구 성안로 150,08:30~16:30,08:30~11:30,미운영,1588-4100,강동구보건소,02-3425-6713,
2021년 11월 11일 09시,서울,강북구,강북구보건소,"서울 강북구 한천로 897, 강북구보건소",09:00~21:00,09:00~18:00,09:00~18:00,02-901-7704.7706,강북구보건소,02)901-7653,수어통영화상전화기 설치
2021년 11월 11일 09시,서울,강서구,강서구보건소,서울 강서구 염창동 275-12 강서보건소,09:00~20:30,09:00~17:30,09:00~17:30,02-2600-5465,강서구보건소,02-2600-5868,
2021년 11월 11일 09시,서울,관악구,관악구보건소,서울 관악구 청룡동 1570-1 ,09:00~21:00,09:00~18:00,09:00~18:00,02-879-7133/7136,관악구보건소,02-879-7131,
2021년 11월 11일 09시,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로 1636,08:30~17:00,08:30~12:30,미운영,1877-8875,관악구보건소,02-879-7131,
2021년 11월 11일 09시,서울,광진구,광진구보건소,서울특별시 광진구 자양1동 777,09:00~21:00,09:00~18:00,09:00~18:00,02-450-7090,광진구보건소,02-450-7090,
2021년 11월 11일 09시,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,08:30~17:00,08:30~12:00,미운영,02-1588-1533,광진구보건소,02-450-7090,
2021년 11월 11일 09시,서울,구로구,구로구보건소,"서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터, 구로구보건소",09:00~21:00,09:00~18:00,09:00~18:00,02-860-2012,구로구보건소,02-860-2012,
2021년 11월 11일 09시,서울,구로구,고대구로병원,구로동로 148,09:00~17:30,미운영,미운영,02-2626-1554,구로구보건소,02-860-2012,
2021년 11월 11일 09시,서울,구로구,구로성심병원,경인로 427,09:00~17:30,09:00~12:30,미운영,02-2067-1500,구로구보건소,02-860-2012,
2021년 11월 11일 09시,서울,금천구,금천구보건소,서울 금천구 시흥제1동 1020 금천구보건소 ,09:00~21:00,09:00~18:00,09:00~18:00,02-2627-2717,금천구보건소,02-2627-2717,
2021년 11월 11일 09시,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,09:00~17:00,09:00~12:00,09:00~12:00,02-2219-7231,금천구보건소,02-2627-2653,
2021년 11월 11일 09시,서울,노원구,노원구보건소,"서울 노원구 상계6.7동 노원구보건소, 701-1",09:00~21:00,09:00~18:00,13:00~17:00,02-2116-3000,노원구보건소,02-2116-4346,
2021년 11월 11일 09시,서울,노원구,노원을지대학교병원,서울 노원구 한글비석로 68,09:00~17:00,미운영,미운영,02-970-8000,노원구보건소,02-2116-4346,
2021년 11월 11일 09시,서울,노원구,상계백병원,서울 노원구 동일로 1342,09:00~16:00,미운영,미운영,02-950-1114,노원구보건소,02-2116-4346,
2021년 11월 11일 09시,서울,도봉구,도봉구보건소,서울 도봉구 쌍문동 565,"09:00~11:30,13:00~15:00,15:30~17:30,19:00~20:30","09:00~11:30,13:00~15:00,15:30~17:30","09:00~11:30,13:00~15:00,15:30~17:30",02-2091-4434,도봉구보건소,2091-4488,"전자문진표 이용, 휠체어 사용가능, 손말이음센터 연계지원"
2021년 11월 11일 09시,서울,도봉구,한일병원,서울시 도봉구 우이천로 308(쌍문동) ,9:00~17:30,미운영,미운영,02-901-3114,도봉구보건소,2091-4503,
2021년 11월 11일 09시,서울,동대문구,동대문구보건소,서울 동대문구 용두동 39-9 ,"09:00~12:30,13:00~18:00,18:30~21:00","09:00~13:00,13:30~18:00","09:00~13:00,13:30~18:00",02-2127-4283,동대문구보건소,02-2127-4283,
2021년 11월 11일 09시,서울,동대문구,삼육서울병원,서울 동대문구 망우로 82,09:00~16:30,미운영,09:00~16:30,1577-3675,동대문구보건소,02-2127-5655,
2021년 11월 11일 09시,서울,동대문구,서울특별시동부병원,서울 동대문구 무학로 124 ,09:00~17:30,09:00~12:30,09:00~12:30,920-9435/9119,동대문구보건소,02-2127-5655,
2021년 11월 11일 09시,서울,동대문구,서울성심병원,서울 동대문구 왕산로 259,09:00~16:00,미운영,미운영,966-1616,동대문구보건소,02-2127-5655,
2021년 11월 11일 09시,서울,동대문구,경희의료원,서울 동대문구 경희대로 23,08:30~16:40,09:00~12:30,미운영,958-8114,동대문구보건소,02-2127-5655,
2021년 11월 11일 09시,서울,동작구,동작구보건소,서울 동작구 상도2동 176-3,09:00~21:00,09:00~18:00,09:00~18:00,02-820-9465,동작구보건소,02-820-9465,
2021년 11월 11일 09시,서울,동작구,서울특별시 보라매병원,동작구 보라매로5길 20,09:00~17:30,09:00~12:30,09:00~12:30,02-870-2114,동작구보건소,820-9465,
2021년 11월 11일 09시,서울,동작구,서울특별시 중앙대학교 병원,서울특별시 동작구 흑석로 102,08:30~17:00,08:30~12:00,미운영,1800-1114,동작구보건소,820-9465,
2021년 11월 11일 09시,서울,마포구,마포구보건소,서울 마포구 성산동 370,"09:00~13:00,15:00~17:30,19:00~21:00","09:00~13:00,15:00~18:00","09:00~13:00,15:00~18:00",02-3153-9037,마포구보건소,02-3153-9004~9006,도움인력 O
2021년 11월 11일 09시,서울,서대문구,서대문구보건소,서울 서대문구 연희동  연희로242 (연희동 165-2),"09:00~12:00,13:00~18:00,19:00~21:00","09:00~13:00,14:00~18:00","09:00~13:00,14:00~18:00",02-330-1806,서대문구보건소,02-330-1806,
2021년 11월 11일 09시,서울,서대문구,세브란스병원,연세로 50-1,06:00~06:00,06:00~06:00,06:00~06:00,1599-1004,서대문구보건소,02-330-1806,
2021년 11월 11일 09시,서울,중구,서울중구보건소,서울 중구 신당동 50-5 중구보건소  ,09:00~21:00,09:00~18:00,09:00~18:00,02-3396-5181,서울중구보건소,02-3396-5181,
2021년 11월 11일 09시,서울,중구,인제대학교서울백병원,서울 중구 마른내로 9 백병원,00:00~00:00,00:00~00:00,00:00~00:00,02-2270-0114,서울중구보건소,02-3396-4853,
2021년 11월 11일 09시,서울,중구,국립중앙의료원,중구 을지로 245,00:00~00:00,00:00~00:00,00:00~00:00,02-2260-7114,서울중구보건소,02-3396-4853,
2021년 11월 11일 09시,서울,서초구,서초구보건소,서울 서초구 서초동(서초2동) 1376-3 서초구청 보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-2155-8093,서초구보건소,02-2155-8093,
2021년 11월 11일 09시,서울,서초구,가톨릭대학교 서울성모병원,서울시 서초구 반포대로 222,08:00~16:30,08:00~12:00,미운영,02-1588-1511,서초구보건소,02-2155-8095,
2021년 11월 11일 09시,서울,서초구,서울특별시 어린이병원,서울특별시 서초구 헌릉로 260,10:00~15:00,미운영,미운영,02-570-8000,서초구보건소,02-2155-8095,
2021년 11월 11일 09시,서울,성동구,성동구보건소,서울 성동구 홍익동 (왕십리도선동) 16-15 성동구보건소 ,"09:00~13:00,14:00~21:00","09:00~13:00,14:00~18:00","09:00~13:00,14:00~18:00",02-2286-7172,성동구보건소,02-2286-7066,수어통역영상전화기
2021년 11월 11일 09시,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),09:00~17:30,09:00~12:30,미운영,02-2290-8114/8531,성동구보건소,02-2286-7066,
2021년 11월 11일 09시,서울,성동구,성동군자의원,서울특별시 성동구 광나루로 323 송정빌딩 2층,09:00~20:00,09:00~12:00,미운영,02-499-7785,성동구보건소,02-2286-7066,
2021년 11월 11일 09시,서울,성북구,성북구보건소,서울 성북구 월곡제2동 46-1 성북구보건소 ,09:00~21:00,09:00~18:00,09:00~18:00,02-2241-5912,성북구보건소,02-2241-6153,
2021년 11월 11일 09시,서울,성북구,고려대학교의료원안암병원,고려대로73(안암동 5가),09:00~16:00,09:00~12:30,미운영,1577-0083,성북구보건소,02-2241-6153,
2021년 11월 11일 09시,서울,송파구,송파구보건소,"서울 송파구 신천동 29-5 송파구청, 보건소 ","09:00~12:30,13:30~17:00,18:00~21:00","09:00~13:00,14:00~18:00","09:00~13:00,14:00~18:00",02-2147-3479,송파구보건소,02-2147-3478,
2021년 11월 11일 09시,서울,송파구,서울아산병원,올림픽로43길 88,08:00~23:00,08:00~23:00,08:0~23:0,02-1688-7575,송파구보건소,02-2147-3478,
2021년 11월 11일 09시,서울,송파구,경찰병원,송이로 123,9:00~16:00,미운영,미운영,02-3400-1114,송파구보건소,02-2147-3748,
2021년 11월 11일 09시,서울,양천구,양천구보건소,서울 양천구 신정동(신정6동) 321-5 양천보건소,"09:00~12:00,13:00~15:00,16:00~18:00,19:00~21:00","09:00~12:00,13:00~15:00,16:00~18:00","09:00~12:00,13:00~15:00,16:00~18:00",02-2620-3856,양천구보건소,02-2620-4920,전자문진표 이용
2021년 11월 11일 09시,서울,양천구,이화여자대학교의과대학부속목동병원,서울 양천구 안양천로 1071 ,"09:00~11:30,13:00~15:30",미운영,미운영,1666-5000,양천구보건소,02-2620-3938,
2021년 11월 11일 09시,서울,양천구,서울특별시 서남병원,양천구 신정이펜1로 20,"09:00~13:00,14:00~18:00","09:00~13:00,14:00~16:00,16:30~18:00","09:00~13:00,14:00~16:00,16:30~18:00",1566-6688,양천구보건소,02-2620-3938,"수어상담가능, 의사소통 도움판 비치, 도움인력 배치"
2021년 11월 11일 09시,서울,양천구,홍익병원,서울 양천구 목동로 225 ,"09:00~12:30,13:30~17:00","09:00~12:30,13:30~17:00","09:00~12:30,13:30~17:00",02-2693-5555,양천구보건소,02-2620-3938,"청각장애인 화상통화전화번호 구비(화상전화기 구비는X), 진료 휠체어 진입가능"
2021년 11월 11일 09시,서울,영등포구,영등포구보건소,서울 영등포구 당산동3가(당산제1동) 385-1 영등포구청 영등포구보건소,09:00~18:00,09:00~18:00,09:00~18:00,02-2670-4953,영등포구보건소,02-2670-4893,
2021년 11월 11일 09시,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로 1,08:30~16:30,08:30~11:30,미운영,1577-5587,영등포구보건소,02-2670-4980,
2021년 11월 11일 09시,서울,영등포구,의료법인 성애병원,서울특별시 영등포구 여의대방로 53길22,09:00~17:00,미운영,미운영,02-840-7538,영등포구보건소,02-2670-4980,
2021년 11월 11일 09시,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,08:30~11:30,미운영,미운영,1661-7575,영등포구보건소,02-2670-4980,
2021년 11월 11일 09시,서울,영등포구,인봉의료재단 영등포병원,서울특별시 영등포구 당산로31길 10,09:00~16:30,09:00~11:00,미운영,010-5334-7708,영등포구보건소,02-2670-4980,
2021년 11월 11일 09시,서울,용산구,용산구보건소,서울 용산구 이태원동 34-87,09:00~21:00,09:00~18:00,09:00~18:00,02-2199-8373~6,용산구보건소,2199-8117,
2021년 11월 11일 09시,서울,용산구,순천향대학교서울병원,용산구 대사관로 59(한남동),08:30~17:00,08:30~12:00,미운영,02-709-9114,용산구보건소,2199-6041,
2021년 11월 11일 09시,서울,은평구,은평구보건소,서울 은평구 녹번동 84 은평구종합청사 은평구보건소,09:00~18:00,09:00~13:00,09:00~13:00,02-351-8640~1,은평구보건소,351-8280,
2021년 11월 11일 09시,서울,은평구,가톨릭대학교 은평성모병원,은평구 통일로1021,08:30~16:30,미운영,미운영,1811-7755,은평구보건소,351-8268,
2021년 11월 11일 09시,서울,은평구,서울특별시서북병원,은평구 갈현로7길 49,09:00~18:00,미운영,미운영,02-3156-3022,은평구보건소,351-8268,
