Country,TotalCases,TotalDeaths,TotalRecovered,Population
United States of America,47916190,783565.0,37918301.0,333659530.0
India,34447536,463655.0,33849785.0,1398568738.0
Brazil,21957967,611318.0,21151342.0,214627421.0
UK,9561099,142898.0,7825200.0,68374171.0
Russia,9070674,255386.0,7784585.0,146020156.0
Turkey,8408166,73531.0,7888959.0,85580696.0
France,7287645,118154.0,7009009.0,65471280.0
Iran,6037718,128167.0,5695949.0,85463450.0
Argentina,5305742,116232.0,5172193.0,45763277.0
Spain,5047156,87673.0,4889801.0,46779578.0
Germany,5038436,98194.0,4494300.0,84150739.0
Colombia,5031945,127809.0,4872420.0,51624900.0
Italy,4860061,132775.0,4608056.0,60340059.0
Indonesia,4250855,143659.0,4098178.0,277480822.0
Mexico,3845733,291147.0,3206890.0,130786118.0
Ukraine,3228441,77147.0,2642459.0,43373804.0
Poland,3204515,78867.0,2802616.0,37789840.0
South Africa,2925939,89484.0,2819688.0,60331524.0
Philippines,2816980,45581.0,2743297.0,111575917.0
Malaysia,2546309,29676.0,2451216.0,32933213.0
Netherlands,2295107,18734.0,2021603.0,17186785.0
Peru,2214543,200635.0,,33600010.0
Iraq,2069247,23503.0,2025057.0,41455535.0
Thailand,2024753,20079.0,1910509.0,70039793.0
Czechia,1890405,31481.0,1716716.0,10736185.0
Canada,1748391,29337.0,1693037.0,38194992.0
Romania,1742304,53069.0,1578707.0,19061869.0
Chile,1726481,37975.0,1629572.0,19340755.0
Japan,1725320,18325.0,1705315.0,125946118.0
Bangladesh,1572501,27922.0,1536515.0,166934371.0
Belgium,1484712,26321.0,1242741.0,11658674.0
Israel,1337190,8143.0,1323574.0,9326000.0
Pakistan,1279876,28612.0,1228473.0,226754159.0
Serbia,1211163,10839.0,1108124.0,8689161.0
Sweden,1182471,15051.0,1147441.0,10185462.0
Portugal,1107488,18257.0,1051300.0,10155985.0
Vietnam,1026522,23082.0,863311.0,98537044.0
Austria,959652,11706.0,836053.0,9076741.0
Cuba,958738,8282.0,948649.0,11317148.0
Kazakhstan,957537,12434.0,915369.0,19083943.0
Morocco,948226,14743.0,930012.0,37509040.0
Hungary,939784,31867.0,818336.0,9626752.0
Switzerland,909034,11342.0,841810.0,8741246.0
Jordan,892123,11238.0,851303.0,10341727.0
Greece,831874,16766.0,737765.0,10353309.0
Nepal,816966,11477.0,798274.0,29853151.0
Georgia,785911,11057.0,722399.0,3978679.0
UAE,740945,2143.0,735549.0,10053867.0
Tunisia,715687,25311.0,689504.0,11987818.0
Bulgaria,655647,26279.0,516141.0,6876779.0
Lebanon,652735,8582.0,623694.0,6783574.0
Belarus,627478,4848.0,607623.0,9445066.0
Guatemala,610004,15714.0,591720.0,18368545.0
Costa Rica,564159,7197.0,524560.0,5157771.0
Azerbaijan,560853,7445.0,522431.0,10264234.0
Slovakia,560100,13537.0,470236.0,5463263.0
Sri Lanka,551343,13995.0,523929.0,21536165.0
Saudi Arabia,549222,8813.0,538274.0,35555215.0
Croatia,538752,9881.0,490240.0,4070583.0
Bolivia,523485,19017.0,482744.0,11890795.0
Ecuador,519560,32989.0,443880.0,18009396.0
Myanmar,513262,18929.0,484340.0,54909045.0
Ireland,498448,5566.0,407512.0,5013245.0
Panama,474621,7343.0,465473.0,4407639.0
Paraguay,461957,16337.0,444977.0,7252384.0
Lithuania,443228,6317.0,400067.0,2670230.0
Palestine,426798,4486.0,419178.0,5263402.0
Denmark,423322,2767.0,385492.0,5820128.0
Venezuela,419745,5026.0,405840.0,28325581.0
Kuwait,413008,2462.0,410277.0,4356938.0
S. Korea,397466,3115.0,362834.0,51329607.0
Uruguay,396545,6101.0,388424.0,3490212.0
Dominican Republic,395856,4170.0,387191.0,10996753.0
Slovenia,378142,4940.0,330923.0,2079329.0
Honduras,376967,10353.0,117912.0,10119996.0
Mongolia,373344,1888.0,313256.0,3350472.0
Ethiopia,368822,6623.0,344707.0,118852589.0
Libya,364675,5296.0,316932.0,6999085.0
Moldova,352822,8495.0,332709.0,4021121.0
Egypt,343961,19499.0,287682.0,104972431.0
Armenia,328963,7016.0,293760.0,2970827.0
Oman,304429,4113.0,299840.0,5283978.0
Bahrain,277223,1393.0,275590.0,1782242.0
Bosnia and Herzegovina,263587,11962.0,192218.0,3252861.0
Kenya,254297,5316.0,247645.0,55389454.0
Qatar,241089,611.0,238844.0,2807805.0
Latvia,240340,3762.0,215889.0,1857621.0
Singapore,237203,586.0,212724.0,5913311.0
Norway,228526,950.0,88952.0,5479256.0
Nigeria,213147,2968.0,205732.0,213117109.0
Estonia,212096,1673.0,184187.0,1327757.0
Zambia,209983,3666.0,206198.0,19086781.0
North Macedonia,209277,7328.0,193400.0,2083257.0
Algeria,207970,5984.0,142698.0,44933415.0
Botswana,193701,2411.0,190577.0,2416512.0
Albania,193075,2990.0,181649.0,2873493.0
Australia,190624,1888.0,167278.0,25904632.0
Uzbekistan,189915,1358.0,186191.0,34132539.0
Kyrgyzstan,182425,2707.0,176909.0,6671358.0
Finland,167119,1216.0,46000.0,5552506.0
Afghanistan,156552,7293.0,129208.0,40126015.0
Montenegro,152087,2207.0,144828.0,628175.0
Mozambique,151427,1936.0,149368.0,32450800.0
Zimbabwe,133428,4696.0,128281.0,15158805.0
Ghana,130649,1206.0,128331.0,31959207.0
Namibia,129041,3564.0,125325.0,2603804.0
Uganda,126923,3238.0,96997.0,47711995.0
Cyprus,124225,577.0,90755.0,1219388.0
Cambodia,119588,2872.0,115979.0,17035414.0
El Salvador,117884,3728.0,100780.0,6531007.0
Cameroon,106190,1770.0,102716.0,27448274.0
Rwanda,100136,1338.0,45519.0,13390696.0
China,98315,4636.0,92332.0,1439323776.0
Jamaica,90209,2327.0,60594.0,2978861.0
